Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$94K - $149K (Glassdoor est.),3.3,"Union Bank
3.3","Irvine, CA",5001 to 10000 Employees,1864,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Scientist,$78K - $145K (Glassdoor est.),3.4,"Spigen,Inc
3.4","Irvine, CA",201 to 500 Employees,2007,Company - Private,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD)
Technology Transfer Scientist,-1,-1,Lumos Diagnostics,"Carlsbad, CA",-1,-1,-1,-1,-1,-1
Staff Data Scientist,$111K - $194K (Glassdoor est.),3.5,"Freedom Financial Network
3.5","San Mateo, CA",1001 to 5000 Employees,2002,Company - Private,Lending,Finance,$500 million to $1 billion (USD)
Medical Lab Scientist/Phlebotomist I,$52K - $82K (Glassdoor est.),3.4,"Sonora Quest Laboratories
3.4","Susanville, CA",1001 to 5000 Employees,1997,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Manufacturing Scientist,$71K - $115K (Glassdoor est.),-1,Lumos Diagnostics,"Carlsbad, CA",-1,-1,-1,-1,-1,-1
"Sr. Scientist, Product Development",$85K - $160K (Glassdoor est.),3.8,"Personalis, Inc
3.8","Menlo Park, CA",201 to 500 Employees,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
X-Ray Research Scientist,$49K - $85K (Glassdoor est.),3.9,"Leidos
3.9","Vista, CA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Lead Business Intelligence Analyst,$74K - $135K (Glassdoor est.),3.2,"Kyocera International, Inc.
3.2","San Diego, CA",10000+ Employees,1959,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$50 to $100 million (USD)
Data Analyst,$50K - $107K (Glassdoor est.),-1,Alter Management LLC,"Dana Point, CA",-1,-1,-1,-1,-1,-1
Principal Data Engineer,$94K - $172K (Glassdoor est.),3.8,"Alameda Health System
3.8","Oakland, CA",5001 to 10000 Employees,1864,Hospital,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
"NGS Scientist, Library Prep",$108K - $197K (Glassdoor est.),4.2,"Stealth Mode Startup
4.2","Newark, CA",1 to 50 Employees,Unknown,Less than $1 million (USD),-1,-1,-1
Clinical Laboratory Scientist,$48K - $96K (Glassdoor est.),3.6,"Humboldt County Entities
3.6","Eureka, CA",501 to 1000 Employees,Government,State & Regional Agencies,Government,Unknown / Non-Applicable,-1
Staff Data Engineer (Oracle ERP/HCM),$114K - $212K (Glassdoor est.),3.5,"Freedom Financial Network
3.5","San Mateo, CA",1001 to 5000 Employees,2002,Company - Private,Lending,Finance,$500 million to $1 billion (USD)
Asbestos Environmental Scientist,$45K - $92K (Glassdoor est.),3.6,"Terracon
3.6","Colton, CA",1001 to 5000 Employees,1965,Company - Private,Architectural & Engineering Services,Business Services,$500 million to $1 billion (USD)
"Scientist/Senior Scientist, Synthetic Biology",$81K - $174K (Glassdoor est.),-1,Bioalgo Lab,"Menlo Park, CA",-1,-1,-1,-1,-1,-1
Scientist - Ocular,$53K - $76K (Glassdoor est.),3.4,"Absorption Systems
3.4","San Diego, CA",51 to 200 Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
"Assistant, Associate or Full Research Scientist - MED - Lung Biology",-1,4.3,"UC San Diego
4.3",California,10000+ Employees,1960,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Clinical Lab Scientist,$51K - $92K (Glassdoor est.),1.7,"DermTech
1.7","San Diego, CA",51 to 200 Employees,1995,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD)
Data Scientist,$70K - $147K (Glassdoor est.),-1,Rare Collectibles TV,"Torrance, CA",-1,-1,-1,-1,-1,-1
"Scientist, Immuno-Oncology",$69K - $214K (Glassdoor est.),-1,TrueBinding,"Foster City, CA",-1,-1,-1,-1,-1,-1
Licensed Clinical Laboratory Scientist,$49K - $98K (Glassdoor est.),-1,"Castle Family Health Centers, Inc","Atwater, CA",-1,-1,-1,-1,-1,-1
Staff Scientist I Virus Pseudovirus Protein Core,$77K - $143K (Glassdoor est.),3.0,"Vitalant Research Institute
3.0","San Francisco, CA",1001 to 5000 Employees,1943,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Cloud Data Engineer for Autonomous Driving,$94K - $130K (Glassdoor est.),4.1,"Lucid Motors
4.1","Newark, CA",1001 to 5000 Employees,2007,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
"Scientist/Sr. Scientist, Oligonucleotide Synthesis",$86K - $115K (Glassdoor est.),3.5,"LGC Limited
3.5","Petaluma, CA",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Senior Scientist (Energy Storage),$95K - $182K (Glassdoor est.),5.0,"Capacitor Sciences
5.0","Menlo Park, CA",1 to 50 Employees,Subsidiary or Business Segment,Unknown / Non-Applicable,-1,-1,-1
"Clinical Laboratory Scientist, Full Time, Evening Shift",$25 - $41 Per Hour(Glassdoor est.),3.6,"Adventist Health
3.6","Lodi, CA",10000+ Employees,1973,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
3rd Shift QC Microbiology Scientist,$40K - $82K (Glassdoor est.),3.4,"Eurofins
3.4","Oceanside, CA",10000+ Employees,1987,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Clinical Laboratory Scientist,$57K - $111K (Glassdoor est.),3.4,"MarinHealth Medical Center
3.4","Greenbrae, CA",1001 to 5000 Employees,1952,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Clinical Laboratory Scientist,$101K - $116K (Glassdoor est.),-1,Octave Bioscience,"Menlo Park, CA",-1,-1,-1,-1,-1,-1
Senior Data Scientist,$152K - $169K (Glassdoor est.),4.2,"23andMe
4.2","Sunnyvale, CA",501 to 1000 Employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Staff Data Scientist,$111K - $194K (Glassdoor est.),3.5,"Freedom Financial Network
3.5","San Mateo, CA",1001 to 5000 Employees,2002,Company - Private,Lending,Finance,$500 million to $1 billion (USD)
Staff Data Scientist,$118K - $193K (Glassdoor est.),4.0,"Metromile
4.0","San Francisco, CA",201 to 500 Employees,2011,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable
Sr Data Engineer- W2 only- 10+ years experience,$108K - $177K (Glassdoor est.),-1,iCloudNexus,"San Jose, CA",-1,-1,-1,-1,-1,-1
Clinical Genetic Molecular Biologist Scientist (CGMBS),$37K - $91K (Glassdoor est.),-1,Artemis DNA,"Irvine, CA",-1,-1,-1,-1,-1,-1
Data Analyst - Anthem BHI,$28K - $52K (Glassdoor est.),2.7,"WellSpace Health
2.7","Sacramento, CA",51 to 200 Employees,Nonprofit Organization,$10 to $25 million (USD),-1,-1,-1
"Scientist I, Cell Line Generation [JC-1384]",$85K - $159K (Glassdoor est.),2.3,"LakePharma, Inc.
2.3","Hayward, CA",201 to 500 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
Principal Data Engineer (CA),-1,4.5,"Movoto
4.5",California,201 to 500 Employees,2004,Company - Private,Real Estate,Real Estate,$10 to $25 million (USD)
Software Engineer and Scientist,$100K - $174K (Glassdoor est.),-1,"GenNext Technologies, Inc.","Half Moon Bay, CA",-1,-1,-1,-1,-1,-1
Actuary - Data Science & Advanced Analytics,$89K - $156K (Glassdoor est.),3.8,"Pacific Life
3.8","Aliso Viejo, CA",1001 to 5000 Employees,1868,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD)
Data Scientist / Engineer - Senior / Experienced Level,$132K - $166K (Glassdoor est.),-1,"AWM Smart Shelf (Adroit Worldwide Media, Inc.)","Aliso Viejo, CA",-1,-1,-1,-1,-1,-1
NGS Scientist,$110K - $143K (Glassdoor est.),3.5,"MedGenome
3.5","Foster City, CA",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
"Clinical Laboratory Scientist (CLS) - Full Time, Night Shift",$47K - $98K (Glassdoor est.),-1,Adventist Health,"Tehachapi, CA",-1,-1,-1,-1,-1,-1
"Senior Scientist, Discovery Biology",-1,-1,ADARx Pharmaceuticals,"San Diego, CA",-1,-1,-1,-1,-1,-1
Lead Clinical Laboratory Scientist,$55K - $108K (Glassdoor est.),2.1,"HRC Fertility Management, LLC
2.1","Newport Beach, CA",51 to 200 Employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Travel Clinical Lab Scientist / CLS,-1,4.6,"LRS Healthcare
4.6",California,501 to 1000 Employees,2006,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"Lead Data Engineer, Big Data",$178K - $200K (Glassdoor est.),4.1,"Lucid Motors
4.1","Newark, CA",1001 to 5000 Employees,2007,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
"Data Scientist, Medical Diagnostics",$88K - $150K (Glassdoor est.),3.5,"Specific Diagnostics
3.5","Mountain View, CA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Clinical Lab Scientist l (Full-Time),$21 - $34 Per Hour(Glassdoor est.),3.3,"Oak Valley Hospital District
3.3","Oakdale, CA",201 to 500 Employees,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1
Research Scientist,$82K - $173K (Glassdoor est.),-1,Circularis Biotechnologies,"Oakland, CA",-1,-1,-1,-1,-1,-1
Clinical Lab Scientist - Clinical Laboratory,$45K - $94K (Glassdoor est.),2.7,"Providence
2.7","Fullerton, CA",1 to 50 Employees,1953,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Senior Data Analytics Advisor,$97K - $103K (Glassdoor est.),4.0,"Rio Tinto
4.0","Boron, CA",10000+ Employees,1873,Company - Public,Mining,Mining & Metals,$10+ billion (USD)
"Clinical Laboratory Scientist, Nights, Full Time - $20K Sign On Bonus!",$49K - $96K (Glassdoor est.),3.6,"Adventist Health
3.6","Clearlake, CA",10000+ Employees,1973,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Scientist,$78K - $139K (Glassdoor est.),3.4,"Tawa Service, Inc.
3.4","Buena Park, CA",1001 to 5000 Employees,1984,Company - Private,Grocery Stores & Supermarkets,Retail,Unknown / Non-Applicable
Clinical Lab Scientist l,$19 - $30 Per Hour(Glassdoor est.),3.3,"Oak Valley Hospital District
3.3","Oakdale, CA",201 to 500 Employees,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1
Senior Research Scientist Cell Line/Upstream Process Development,-1,-1,Mapp Biopharmaceutical,"San Diego, CA",-1,-1,-1,-1,-1,-1
Translational Scientist,$70K - $129K (Glassdoor est.),3.8,"Biocept, Inc.
3.8","San Diego, CA",51 to 200 Employees,Company - Public,Research & Development,Business Services,$1 to $5 million (USD),-1
Bioinformatics Scientist,-1,-1,Spatial Genomics,"Pasadena, CA",-1,-1,-1,-1,-1,-1
Senior Digital Marketing Data Analyst,$59K - $107K (Glassdoor est.),3.2,"Juvo Plus, Inc.
3.2","Monrovia, CA",1 to 50 Employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1
Data Analyst Regulatory Compliance Reporting - Compliance,$46K - $92K (Glassdoor est.),2.7,"Providence
2.7","Anaheim, CA",1 to 50 Employees,1953,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
