Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$80K - $148K (Glassdoor est.),3.9,"Deloitte
3.9","Arlington, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,$80K - $151K (Glassdoor est.),3.9,"Leidos
3.9","Washington, DC",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist,$79K - $148K (Glassdoor est.),3.9,"Deloitte
3.9","Washington, DC",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,$68K - $141K (Glassdoor est.),2.6,"QinetiQ Inc.
2.6","Lorton, VA",501 to 1000 Employees,1956,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
Data Scientist with TS Clearance,$86K - $155K (Glassdoor est.),3.9,"Deloitte
3.9","Arlington, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,$100K - $160K (Glassdoor est.),4.7,"Johns Hopkins Applied Physics Laboratory (APL)
4.7","Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Data Scientist,$79K - $131K (Glassdoor est.),3.6,"ATCS, P.L.C.
3.6","Herndon, VA",201 to 500 Employees,1994,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD)
Data Scientist with Polygraph,$79K - $148K (Glassdoor est.),3.9,"Deloitte
3.9","Rosslyn, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Analytics Consultant (TS/SCI/polygraph),$67K - $115K (Glassdoor est.),3.9,"Deloitte
3.9","Fort Meade, MD",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Research Data Scientist,$71K - $133K (Glassdoor est.),3.8,"Intelligent Automation
3.8","Rockville, MD",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD)
Data Scientist,$75K - $142K (Glassdoor est.),4.2,"Booz Allen Hamilton
4.2","McLean, VA",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD)
Data Scientist,$77K - $147K (Glassdoor est.),3.8,"InnovaSystems International, LLC
3.8","Alexandria, VA",201 to 500 Employees,1997,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Sr. Big Data Engineer,$82K - $141K (Glassdoor est.),3.5,"GEICO
3.5","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist,$74K - $126K (Glassdoor est.),3.5,"GEICO
3.5","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
Contract Data Analyst,$55K - $96K (Glassdoor est.),4.1,"Amyx, Inc.
4.1","Arlington, VA",501 to 1000 Employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Data Engineer,$69K - $124K (Glassdoor est.),3.9,"General Dynamics Mission Systems, Inc
3.9","Chantilly, VA",10000+ Employees,1952,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
Senior Data Scientist,$93K - $168K (Glassdoor est.),3.9,"Leidos
3.9","Bethesda, MD",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist Manager,$92K - $180K (Glassdoor est.),3.9,"Deloitte
3.9","Arlington, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
"Data Engineer – Fairfax, VA",$73K - $141K (Glassdoor est.),3.4,"Vibrent Health
3.4","Fairfax, VA",51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Artificial Intelligence/Machine Learning Engineer Associate,$69K - $144K (Glassdoor est.),3.8,"Mitre Corporation
3.8","McLean, VA",5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD)
Data Scientist,$92K - $183K (Glassdoor est.),4.1,"Copper River Shared Services
4.1","Washington, DC",501 to 1000 Employees,2006,Company - Private,Federal Agencies,Government,$100 to $500 million (USD)
Image Scientist,$67K - $130K (Glassdoor est.),3.9,"General Dynamics Mission Systems, Inc
3.9","Fairfax, VA",10000+ Employees,1952,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
Data Scientist - Defense & Intelligence,$66K - $123K (Glassdoor est.),4.3,"Elder Research Inc
4.3","Arlington, VA",51 to 200 Employees,1995,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Data Visualization Scientist,$62K - $118K (Glassdoor est.),4.7,"Johns Hopkins Applied Physics Laboratory (APL)
4.7","Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Program Finance & Data Analyst,$50K - $94K (Glassdoor est.),3.1,"The International Fund for Animal Welfare
3.1","Washington, DC",201 to 500 Employees,1969,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD)
Senior Data Engineer,$70K - $129K (Glassdoor est.),4.6,"Novetta
4.6","Reston, VA",501 to 1000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Senior Bioinformatics Scientist,$59K - $118K (Glassdoor est.),3.8,"Inova Health System
3.8","Falls Church, VA",10000+ Employees,1956,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
