Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Lead Data Scientist,$80K - $142K (Glassdoor est.),4.0,"Verizon
4.0","Tampa, FL",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Scientist,-1,4.0,"CyberCoders
4.0","Pompano Beach, FL",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Scientific Programming and Machine Learning Engineer,$66K - $119K (Glassdoor est.),3.9,"Leidos
3.9","Eglin AFB, FL",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Analyst,$44K - $79K (Glassdoor est.),4.1,"MMM Holdings
4.1","Orlando, FL",1001 to 5000 Employees,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
Treasury Data Analyst,$46K - $80K (Glassdoor est.),3.1,"BankUnited
3.1","Miami Lakes, FL",1001 to 5000 Employees,2009,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Scientist,$73K - $120K (Glassdoor est.),-1,Webstore Group,"Fort Lauderdale, FL",-1,-1,-1,-1,-1,-1
Business Intelligence Analyst- Florida Applicant Only,$46K - $92K (Glassdoor est.),3.4,"TouchSuite
3.4","Boca Raton, FL",51 to 200 Employees,2004,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable
Data Science Engineer,-1,3.6,"The CSI Companies
3.6","Jacksonville, FL",51 to 200 Employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Engineer,-1,-1,Moorecroft Systems,"Miramar Beach, FL",-1,-1,-1,-1,-1,-1
Analytics Manager,$57K - $110K (Glassdoor est.),4.3,"Drive Social Media
4.3","Miami, FL",51 to 200 Employees,2012,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD)
Healthcare Quality & Data Analytics Manager,$42K - $80K (Glassdoor est.),-1,Brevard Physician Associates,"Melbourne, FL",-1,-1,-1,-1,-1,-1
Senior Data Scientist - Machine Learning Engineer,$68K - $138K (Glassdoor est.),-1,FinTrust Search Group,"Miami, FL",-1,-1,-1,-1,-1,-1
Data Solutions Engineer,-1,-1,Moorecroft Systems,"Miramar Beach, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$58K - $115K (Glassdoor est.),-1,"Cigent Technology, Inc.","Fort Myers, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$65K - $136K (Glassdoor est.),-1,TalentoHCM,"North Miami, FL",-1,-1,-1,-1,-1,-1
Analytical Method Development and Validation Scientist,-1,-1,Confidential Manufacturing,"Daytona Beach, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$65K - $126K (Glassdoor est.),4.5,"Azimuth Corporation
4.5","Tampa, FL",51 to 200 Employees,2001,Company - Private,Federal Agencies,Government,$5 to $10 million (USD)
Data Scientist,$58K - $115K (Glassdoor est.),-1,eMindful,"Orlando, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$73K - $124K (Glassdoor est.),4.0,"Amgen
4.0","Tampa, FL",10000+ Employees,1980,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$73K - $118K (Glassdoor est.),4.0,"Verizon
4.0","Lake Mary, FL",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Scientist,$59K - $113K (Glassdoor est.),4.1,"Certified Collectibles Group
4.1","Sarasota, FL",201 to 500 Employees,1987,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Scientist,$61K - $106K (Glassdoor est.),4.4,"Design Interactive
4.4","Port Orange, FL",51 to 200 Employees,1998,Company - Private,Research & Development,Business Services,$5 to $10 million (USD)
Associate Scientist-R&D,$47K - $116K (Glassdoor est.),-1,"Clinical Diagnostic Solutions, Inc.","Plantation, FL",-1,-1,-1,-1,-1,-1
Data Analyst,-1,4.6,"Creative Financial Staffing
4.6","Fort Lauderdale, FL",201 to 500 Employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Scientist,$82K - $116K (Glassdoor est.),4.1,"777 Partners
4.1","Miami, FL",201 to 500 Employees,2015,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Science Architect,$73K - $125K (Glassdoor est.),2.6,"CSX
2.6","Jacksonville, FL",10000+ Employees,1978,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD)
Data Scientist,$73K - $128K (Glassdoor est.),3.6,"Seacoast Bank
3.6","Orlando, FL",501 to 1000 Employees,1926,Company - Public,Banks & Credit Unions,Finance,$100 to $500 million (USD)
Data Scientist,$75K - $137K (Glassdoor est.),3.6,"Lee Health
3.6","Fort Myers, FL",10000+ Employees,1916,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Scientist,$53K - $91K (Glassdoor est.),4.0,"VMD Corp
4.0","Tampa, FL",501 to 1000 Employees,2002,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Data Scientist,$64K - $119K (Glassdoor est.),3.5,"Novel Engineering
3.5","Melbourne, FL",1 to 50 Employees,2009,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Data Scientist,$58K - $118K (Glassdoor est.),3.6,"Vector Solutions
3.6","Tampa, FL",501 to 1000 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Scientist,$50K - $90K (Glassdoor est.),3.1,"Hertz
3.1","Estero, FL",10000+ Employees,1918,Company - Public,Car Rental,Travel & Tourism,$5 to $10 billion (USD)
Data Scientist,$50K - $70K (Glassdoor est.),4.1,"Elutions
4.1","Tampa, FL",1 to 50 Employees,1994,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Data Scientist,-1,-1,Sabal Tech,"Fort Lauderdale, FL",-1,-1,-1,-1,-1,-1
Data Analyst,$36K - $73K (Glassdoor est.),5.0,"Apptness Media Group
5.0","Boca Raton, FL",1 to 50 Employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
AI Data Scientist - NLP - PwC Labs,$84K - $154K (Glassdoor est.),3.9,"PRICE WATERHOUSE COOPERS
3.9","Tampa, FL",10000+ Employees,1998,Company - Private,Accounting,Accounting & Legal,$5 to $10 billion (USD)
Data Scientist,$61K - $119K (Glassdoor est.),3.7,"Sabel Systems
3.7","Valparaiso, FL",1 to 50 Employees,Contract,IT Services,Information Technology,$1 to $5 million (USD),-1
"Educator, Data Scientist",-1,3.7,"BrainStation
3.7","Miami, FL",201 to 500 Employees,2012,Company - Private,Education Training Services,Education,Unknown / Non-Applicable
Data Scientist,-1,-1,Stratford Animal Health,"Odessa, FL",-1,-1,-1,-1,-1,-1
