Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$115K - $138K (Glassdoor est.),3.1,"Olympus Corporation of the Americas
3.1","Westborough, MA",10000+ Employees,1919,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
Senior Data Scientist,-1,4.2,"Fidelity Investments
4.2","Boston, MA",10000+ Employees,1946,Company - Private,Investment Banking & Asset Management,Finance,$10+ billion (USD)
"Scientist, DMPK BA and MDC",$75K - $138K (Glassdoor est.),4.2,"Eisai
4.2","Cambridge, MA",201 to 500 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Staff Data Scientist,$96K - $170K (Glassdoor est.),3.5,"Alteryx, Inc.
3.5","Boston, MA",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
"Virology scientist (Rochester, MN)",-1,-1,Imanis Life Sciences,Massachusetts,-1,-1,-1,-1,-1,-1
Sr. Data Science Architect,$103K - $179K (Glassdoor est.),2.6,"Agilon Health
2.6","Boston, MA",201 to 500 Employees,2016,Company - Public,Unknown / Non-Applicable,-1,-1
AI/ML Data Engineer,$69K - $112K (Glassdoor est.),4.9,"MORSE Corp
4.9","Cambridge, MA",51 to 200 Employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Experienced Data Engineer,$71K - $122K (Glassdoor est.),3.8,"Liberty Mutual Insurance
3.8","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Senior Data Scientist,$98K - $181K (Glassdoor est.),3.3,"RUE GILT GROUPE
3.3","Boston, MA",501 to 1000 Employees,Company - Private,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1
Data Scientist,$65K - $113K (Glassdoor est.),3.1,"Olympus Corporation of the Americas
3.1","Westborough, MA",10000+ Employees,1919,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
Computer Vision / Machine Learning Engineer,$60K - $115K (Glassdoor est.),3.9,"Leidos
3.9","Tewksbury, MA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Scientist/Senior Scientist - X-ray Crystallography,$71K - $146K (Glassdoor est.),-1,"Xtal BioStructures, Inc.","Natick, MA",-1,-1,-1,-1,-1,-1
"Development Scientist, Next Generation Sequencing",$55K - $98K (Glassdoor est.),4.9,"New England Biolabs, Inc.
4.9","Ipswich, MA",201 to 500 Employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
"Principal Scientist / Director, Immunology",$102K - $202K (Glassdoor est.),5.0,"HotSpot Therapeutics
5.0","Boston, MA",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Data Scientist (Financial Transactions),$75K - $121K (Glassdoor est.),3.9,"Jack Henry and Associates, Inc.
3.9","Braintree, MA",5001 to 10000 Employees,1976,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
Data Engineer - Data and Analytics,$68K - $118K (Glassdoor est.),3.1,"TriMark USA
3.1","Mansfield, MA",1001 to 5000 Employees,Company - Private,Wholesale,Business Services,$1 to $2 billion (USD),-1
Finance & Healthcare Analytics Manager,$57K - $114K (Glassdoor est.),3.8,"Reliant Medical Group, Inc
3.8","Worcester, MA",Unknown,1929,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"Purification Scientist, Downstream Protein Manufacturing",$59K - $108K (Glassdoor est.),4.9,"New England Biolabs, Inc.
4.9","Ipswich, MA",201 to 500 Employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Principal Scientist,$120K - $166K (Glassdoor est.),-1,Myeloid Therapeutics,"Cambridge, MA",-1,-1,-1,-1,-1,-1
Data Engineer,$68K - $135K (Glassdoor est.),-1,Titan Advanced Energy Solutions,"Salem, MA",-1,-1,-1,-1,-1,-1
Lead Wetland Scientist,$41K - $84K (Glassdoor est.),3.7,"SWCA Environmental Consultants
3.7","Westborough, MA",501 to 1000 Employees,1981,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
"Vice President, Data Science Practice Lead",$134K - $221K (Glassdoor est.),4.2,"Fidelity Investments
4.2","Boston, MA",10000+ Employees,1946,Company - Private,Investment Banking & Asset Management,Finance,$10+ billion (USD)
"Senior Scientist, Protein Science",$56K - $104K (Glassdoor est.),3.2,"Quanterix
3.2","Billerica, MA",201 to 500 Employees,2007,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD)
"Development Scientist I/II, Amplification",$61K - $109K (Glassdoor est.),4.9,"New England Biolabs, Inc.
4.9","Ipswich, MA",201 to 500 Employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Senior Clinical Scientist,-1,-1,Allena Pharmaceuticals,"Newton, MA",-1,-1,-1,-1,-1,-1
"SCIENTIST - LC , CE , ELISA , BIOLOGICS",$64K - $127K (Glassdoor est.),4.0,"PPD
4.0","Devens, MA",10000+ Employees,1985,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Pre-formulation Scientist,$53K - $99K (Glassdoor est.),3.1,"Evelo Biosciences
3.1","Cambridge, MA",1 to 50 Employees,Company - Public,Less than $1 million (USD),-1,-1,-1
SCIENTIST - GMP - QUALITY CONTROL - HPLC - ELISA,$46K - $82K (Glassdoor est.),4.0,"PPD
4.0","Worcester, MA",10000+ Employees,1985,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Cardiologist Physician Scientist,$94K - $188K (Glassdoor est.),4.2,"Novartis
4.2","Cambridge, MA",10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Histology Scientist,$53K - $117K (Glassdoor est.),-1,NovoVita Histopath Laboratory,"Boston, MA",-1,-1,-1,-1,-1,-1
R&D Scientist,-1,-1,Metalor Technologies USA,"Attleboro, MA",-1,-1,-1,-1,-1,-1
Histology Scientist,$53K - $117K (Glassdoor est.),-1,NovoVita Histopath Laboratory,"Boston, MA",-1,-1,-1,-1,-1,-1
In Vitro Scientist,-1,-1,Biomere,"Worcester, MA",-1,-1,-1,-1,-1,-1
Research Scientist,$73K - $148K (Glassdoor est.),3.9,"Leidos
3.9","Tewksbury, MA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Clinical Research Scientist,$35K - $67K (Glassdoor est.),3.3,"Lyra Therapeutics, Inc.
3.3","Watertown, MA",1 to 50 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Battery Management Systems (BMS) Scientist,$66K - $134K (Glassdoor est.),3.8,"SolidEnergy Systems
3.8","Woburn, MA",1 to 50 Employees,Company - Private,$1 to $5 million (USD),-1,-1,-1
Senior Research Associate/Associate Scientist - Genetic Diseases,-1,-1,Scismic,"Cambridge, MA",-1,-1,-1,-1,-1,-1
"Director II, Office of Data Science",$116K - $199K (Glassdoor est.),3.8,"Liberty Mutual Insurance
3.8","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
"Scientist/Senior Scientist, Cell Culture Process Development",-1,-1,Cue Biopharma,"Cambridge, MA",-1,-1,-1,-1,-1,-1
"Principal Scientist, PK Sciences Oncology",$84K - $168K (Glassdoor est.),4.2,"Novartis
4.2","Cambridge, MA",10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Quality Improvement Data Analyst - Nutrition,$48K - $96K (Glassdoor est.),4.1,"Boston Children's Hospital
4.1","Boston, MA",5001 to 10000 Employees,1869,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Scientist/ Manager – Process Analytics,$82K - $162K (Glassdoor est.),3.1,"Evelo Biosciences
3.1","Cambridge, MA",1 to 50 Employees,Company - Public,Less than $1 million (USD),-1,-1,-1
Senior X-Ray Scientist,$78K - $146K (Glassdoor est.),3.9,"Leidos
3.9","Tewksbury, MA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Scientist I/Postdoctoral Scientist,$64K - $132K (Glassdoor est.),-1,"Biomodels, LLC","Waltham, MA",-1,-1,-1,-1,-1,-1
Scientist I/II Upstream/Downstream PD [JC-1463],$67K - $128K (Glassdoor est.),2.3,"LakePharma, Inc.
2.3","Hopkinton, MA",201 to 500 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
Sr. Research Scientist,$68K - $137K (Glassdoor est.),3.5,"Associates of Cape Cod, Inc.
3.5","East Falmouth, MA",51 to 200 Employees,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),-1
"Assistant Director/Director, Data Science",$94K - $157K (Glassdoor est.),3.8,"Liberty Mutual Insurance
3.8","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Sr. Scientist/Scientist Computational Chemistry,$72K - $141K (Glassdoor est.),5.0,"HotSpot Therapeutics
5.0","Boston, MA",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Business Intelligence Analyst,$57K - $100K (Glassdoor est.),3.1,"MAPFRE
3.1","Webster, MA",1001 to 5000 Employees,1972,Subsidiary or Business Segment,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Reagent Scientist,$55K - $113K (Glassdoor est.),3.8,"Akoya Biosciences
3.8","Marlborough, MA",51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
"Data Scientist, Population Health",$71K - $131K (Glassdoor est.),-1,Health Data Analytics Institute,"Dedham, MA",-1,-1,-1,-1,-1,-1
Data Analytics Manager - Global Business Services,$48K - $100K (Glassdoor est.),3.7,"The TJX Companies, Inc.
3.7","Marlborough, MA",10000+ Employees,1976,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
Associate Scientist/Scientist/senior scientist - protein purification,$51K - $108K (Glassdoor est.),-1,"Boston Institute of Biotechnology, LLC","Southborough, MA",-1,-1,-1,-1,-1,-1
Data Engineer,$67K - $136K (Glassdoor est.),3.0,"Atlantic Broadband
3.0","Quincy, MA",501 to 1000 Employees,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1
Senior Data Engineer,$88K - $149K (Glassdoor est.),2.8,"Athenahealth
2.8","Watertown, MA",5001 to 10000 Employees,1984,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
Data Modeler,$66K - $128K (Glassdoor est.),3.8,"Liberty Mutual Insurance
3.8","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Product Data Analyst,$56K - $108K (Glassdoor est.),3.1,"MAPFRE
3.1","Webster, MA",1001 to 5000 Employees,1972,Subsidiary or Business Segment,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Data Modeler (Data Vault),$66K - $127K (Glassdoor est.),3.8,"Liberty Mutual Insurance
3.8","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Compliance Data Analyst,$41K - $79K (Glassdoor est.),3.1,"Center for Human Development
3.1","Springfield, MA",1001 to 5000 Employees,1972,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD)
Postdoctoral Scientist – Battery Technology and Materials,$59K - $116K (Glassdoor est.),3.4,"Cabot Corporation
3.4","Billerica, MA",1001 to 5000 Employees,1882,Company - Public,Chemical Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Engineer II,$59K - $102K (Glassdoor est.),3.1,"Olympus Corporation of the Americas
3.1","Westborough, MA",10000+ Employees,1919,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
Computational Biologist / Data Scientist,$59K - $129K (Glassdoor est.),4.2,"Novartis
4.2","Cambridge, MA",10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Research Scientist / Senior Research Scientist,-1,-1,PCI Seqens,"Devens, MA",-1,-1,-1,-1,-1,-1
Director II - Data Science at Solaria Labs,$116K - $199K (Glassdoor est.),3.8,"Liberty Mutual Insurance
3.8","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Strategic Alliance Scientist,$78K - $170K (Glassdoor est.),3.8,"Akoya Biosciences
3.8","Boston, MA",51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
"Director II, Data Science",$103K - $172K (Glassdoor est.),3.8,"Liberty Mutual Insurance
3.8","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
"Scientist, QC Flow Cytometry",$51K - $92K (Glassdoor est.),4.1,"Bristol Myers Squibb
4.1","Devens, MA",10000+ Employees,1858,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Engineer,-1,-1,Decision Point Healthcare Solutins LLC,"Boston, MA",-1,-1,-1,-1,-1,-1
Principal/Senior Data Engineer - Finance,$100K - $161K (Glassdoor est.),3.8,"Liberty Mutual Insurance
3.8","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Scientist,$58K - $115K (Glassdoor est.),3.4,"Absorption Systems
3.4","Medford, MA",51 to 200 Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Analyst,$43K - $73K (Glassdoor est.),4.8,"Raybeam, Inc.
4.8","Newburyport, MA",51 to 200 Employees,1997,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Scientist,-1,5.0,"Aquesst
5.0","Boston, MA",51 to 200 Employees,2010,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Data Scientist,$77K - $135K (Glassdoor est.),4.0,"Sanofi
4.0","Cambridge, MA",10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$82K - $143K (Glassdoor est.),3.9,"Analog Devices
3.9","Wilmington, MA",10000+ Employees,1965,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 billion (USD)
Principal Data Science (Web/Digital Analytics),$102K - $185K (Glassdoor est.),3.9,"Discover
3.9","Wakefield, MA",1001 to 5000 Employees,1985,Company - Public,Banks & Credit Unions,Finance,$25 to $50 million (USD)
Data Engineer,$76K - $148K (Glassdoor est.),4.8,"Sense
4.8","Cambridge, MA",1 to 50 Employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
"Scientist, Workflow Development Group (MA)",$66K - $132K (Glassdoor est.),3.8,"Akoya Biosciences
3.8","Marlborough, MA",51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Data Scientist,-1,5.0,"EQRx
5.0","Cambridge, MA",51 to 200 Employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Scientist,$76K - $123K (Glassdoor est.),3.7,"John Hancock
3.7","Boston, MA",1001 to 5000 Employees,1862,Subsidiary or Business Segment,Insurance Carriers,Insurance,$50 to $100 million (USD)
Data Scientist,$76K - $136K (Glassdoor est.),3.9,"McGraw Hill
3.9","Boston, MA",1001 to 5000 Employees,1888,Company - Private,Education Training Services,Education,$1 to $2 billion (USD)
Data Scientist,$77K - $130K (Glassdoor est.),4.3,"Zifo RnD Solutions
4.3","Cambridge, MA",501 to 1000 Employees,2008,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
