Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,4.0,"Insight Global
4.0","Livonia, MI",1001 to 5000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
Data Scientist/ Full Stack Developer,$61K - $113K (Glassdoor est.),3.7,"Epitec
3.7","Warren, MI",1001 to 5000 Employees,1978,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Principle Investigator/Senior Scientist/Study Director,$85K - $193K (Glassdoor est.),-1,NBR,"Norton Shores, MI",-1,-1,-1,-1,-1,-1
Principle Investigator/Senior Scientist/Study Director,$85K - $193K (Glassdoor est.),-1,NBR,"Norton Shores, MI",-1,-1,-1,-1,-1,-1
Microsoft Data & Analytics Practice Lead,-1,-1,WIT Inc,"Troy, MI",-1,-1,-1,-1,-1,-1
Data Analyst,-1,3.5,"MSX INTERNATIONAL
3.5","Southfield, MI",5001 to 10000 Employees,Company - Private,Consulting,Business Services,$100 to $500 million (USD),-1
Data Analyst-Business Information Specialist,$45K - $92K (Glassdoor est.),2.9,"MMG00-McLaren Medical Group - Admin
2.9","Flint, MI",10000+ Employees,1981,Company - Private,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
Principal Marketing Scientist,$82K - $161K (Glassdoor est.),3.5,"Valassis
3.5","Livonia, MI",1001 to 5000 Employees,1970,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Sr. Data Engineer,$90K - $170K (Glassdoor est.),3.5,"Alteryx, Inc.
3.5","Ann Arbor, MI",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Master Data Analyst,$50K - $95K (Glassdoor est.),3.7,"Amcor
3.7","Ann Arbor, MI",10000+ Employees,1860,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD)
Scientist: Protein Purification Group,-1,-1,"Proteos, Inc","Kalamazoo, MI",-1,-1,-1,-1,-1,-1
Master Data Analyst,$50K - $92K (Glassdoor est.),3.8,"Perrigo Company
3.8","Allegan, MI",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 billion (USD)
Lithium-Ion Battery Scientist with Silicon Experience,$61K - $108K (Glassdoor est.),-1,"Paraclete Energy, Inc.","Chelsea, MI",-1,-1,-1,-1,-1,-1
Cell Culture Associate Scientist/Scientist: Protein Expression Group,-1,-1,"Proteos, Inc","Kalamazoo, MI",-1,-1,-1,-1,-1,-1
Finance / Data Analyst,-1,3.7,"Venteon
3.7","Plymouth, MI",201 to 500 Employees,2002,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Cannabis Laboratory Scientist-1 year experience required,-1,-1,Therapeutic Health Choice,"Bay City, MI",-1,-1,-1,-1,-1,-1
Associate Environmental Scientist,$37K - $74K (Glassdoor est.),2.1,"TTL Associates, Inc.
2.1","Detroit, MI",51 to 200 Employees,1927,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Data Scientist,$101K - $112K (Glassdoor est.),3.3,"Howmet Aerospace
3.3","Whitehall, MI",10000+ Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,$70K - $127K (Glassdoor est.),3.6,"Gongos, Inc.
3.6","Royal Oak, MI",51 to 200 Employees,1991,Company - Private,Consulting,Business Services,$25 to $50 million (USD)
Data Scientist,$71K - $115K (Glassdoor est.),4.0,"Amrock
4.0","Detroit, MI",1001 to 5000 Employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD)
Data Scientist,$84K - $98K (Glassdoor est.),3.2,"Optimal
3.2","Dearborn, MI",51 to 200 Employees,1986,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD)
Data Scientist,$76K - $137K (Glassdoor est.),4.1,"AVANADE
4.1","Detroit, MI",10000+ Employees,2000,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD)
Associate Product Scientist – Computational Biology,$44K - $104K (Glassdoor est.),-1,Daicel Arbor Biosciences,"Ann Arbor, MI",-1,-1,-1,-1,-1,-1
Data Engineer,$57K - $107K (Glassdoor est.),-1,Trovata,"Detroit, MI",-1,-1,-1,-1,-1,-1
Data Scientist,$62K - $110K (Glassdoor est.),4.4,"SSI
4.4","Beverly Hills, MI",51 to 200 Employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Analyst,$47K - $86K (Glassdoor est.),3.6,"Epsilon
3.6","Troy, MI",5001 to 10000 Employees,1969,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$2 to $5 billion (USD)
Research Data Analyst,$46K - $83K (Glassdoor est.),4.1,"University of Detroit Mercy
4.1","Detroit, MI",501 to 1000 Employees,1871,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Data Scientist - Weather Data,$76K - $123K (Glassdoor est.),4.0,"Waymo
4.0","Ann Arbor, MI",Unknown,2009,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,$90K - $105K (Glassdoor est.),4.1,"Ford Motor Company
4.1","Dearborn, MI",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,$66K - $119K (Glassdoor est.),-1,aThingz,"Southfield, MI",-1,-1,-1,-1,-1,-1
"Data Scientist, Customer Intelligence - Opportunity for Working Remotely Detroit, MI",$87K - $151K (Glassdoor est.),4.3,"VMware
4.3","Detroit, MI",10000+ Employees,1998,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
