Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientists,$88K - $99K (Glassdoor est.),4.2,"Colgate-Palmolive
4.2","Piscataway, NJ",10000+ Employees,1806,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,$88K - $99K (Glassdoor est.),4.2,"Colgate-Palmolive
4.2","Piscataway, NJ",10000+ Employees,1806,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Data Engineer,$79K - $157K (Glassdoor est.),3.2,"Visiting Nurse Association of Central Jersey
3.2","Holmdel, NJ",1001 to 5000 Employees,1912,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD)
Research and Development Scientist - Food Industry,$65K - $135K (Glassdoor est.),-1,Viscofan Collagen USA Inc.,"Bridgewater, NJ",-1,-1,-1,-1,-1,-1
Data Engineer,$76K - $133K (Glassdoor est.),3.3,"NFI Industries
3.3","Camden, NJ",5001 to 10000 Employees,1932,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$1 to $2 billion (USD)
High-Throughput Assay Scientist,-1,-1,"Kinetic Staffing Solutions, LLC","Princeton, NJ",-1,-1,-1,-1,-1,-1
Enterprise Analytics Consultant (Full time employee),$66K - $122K (Glassdoor est.),3.6,"ConnectiveRx
3.6","Whippany, NJ",1001 to 5000 Employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Modeler,$56K - $120K (Glassdoor est.),3.7,"Cognizant Technology Solutions
3.7","Bridgewater, NJ",10000+ Employees,1994,Company - Public,Consulting,Business Services,$10+ billion (USD)
Principal Data Engineer,$116K - $121K (Glassdoor est.),3.3,"NFI Industries
3.3","Camden, NJ",5001 to 10000 Employees,1932,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$1 to $2 billion (USD)
Formulation Scientist/Sr. Scientist/Principle Scientist,$76K - $169K (Glassdoor est.),-1,Ascendia Pharmaceuticals,"North Brunswick, NJ",-1,-1,-1,-1,-1,-1
Analytical Scientist/Senior Scienist/Principle Scientist,$96K - $136K (Glassdoor est.),-1,Ascendia Pharmaceuticals,"North Brunswick, NJ",-1,-1,-1,-1,-1,-1
Machine Learning Engineer,$76K - $137K (Glassdoor est.),3.5,"Perspecta
3.5","Wharton, NJ",10000+ Employees,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
