Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$73K - $117K (Glassdoor est.),3.8,"Fifth Third Bank
3.8","Cincinnati, OH",10000+ Employees,1989,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
Data Scientist,-1,3.6,"Penske Truck Leasing and Logistics
3.6","Beachwood, OH",10000+ Employees,1969,Company - Private,Transportation Management,Transportation & Logistics,$5 to $10 billion (USD)
"Virology scientist (Rochester, MN)",-1,-1,Imanis Life Sciences,Ohio,-1,-1,-1,-1,-1,-1
Medical Lab Tech/Medical Lab Scientist - Mercy Health Willard - Part Time 2nd/3rd Shift,$42K - $73K (Glassdoor est.),3.7,"Mercy Health
3.7","Willard, OH",10000+ Employees,1973,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
Medical Lab Tech/Medical Lab Scientist - Mercy Health Willard - Part Time 2nd/3rd Shift,$42K - $73K (Glassdoor est.),3.7,"Mercy Health
3.7","Willard, OH",-1,-1,-1,-1,-1,-1
Medical Lab Scientist (MLS) Mercy Health St. Elizabeth Youngstown,$17 - $24 Per Hour(Glassdoor est.),3.7,"Mercy Health
3.7","Youngstown, OH",10000+ Employees,1973,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
R&D Senior Scientist,$53K - $130K (Glassdoor est.),3.7,"The J. M. Smucker Company
3.7","Orrville, OH",5001 to 10000 Employees,1897,Company - Public,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD)
Medical Lab Tech / Medical Lab Scientist - Lab - Mercy Sylvania - Full Time Nights,$26K - $49K (Glassdoor est.),3.7,"Mercy Health
3.7","Toledo, OH",10000+ Employees,1973,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
Data Engineer,$57K - $114K (Glassdoor est.),3.8,"Oatey
3.8","Cleveland, OH",501 to 1000 Employees,1916,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD)
Associate Environmental Scientist,$34K - $70K (Glassdoor est.),2.1,"TTL Associates, Inc.
2.1","Toledo, OH",51 to 200 Employees,1927,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Data Engineer- External Integration,$50K - $101K (Glassdoor est.),3.7,"University Hospitals
3.7","Shaker Heights, Cuyahoga, OH",10000+ Employees,1863,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
"Data Scientist II, PV Performance",$52K - $55K (Glassdoor est.),4.1,"First Solar
4.1","Perrysburg, OH",5001 to 10000 Employees,1999,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Scientist I,-1,3.8,"Battelle
3.8","Columbus, OH",10000+ Employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD)
Business Intelligence Analyst - Ohio,$85K - $96K (Glassdoor est.),3.4,"IMCD U.S.
3.4","Westlake, OH",1001 to 5000 Employees,1990,Company - Public,Wholesale,Business Services,$2 to $5 billion (USD)
Data Scientist,$66K - $122K (Glassdoor est.),4.5,"Azimuth Corporation
4.5","Wright Patterson AFB, OH",51 to 200 Employees,2001,Company - Private,Federal Agencies,Government,$5 to $10 million (USD)
Sr Data Scientist,$80K - $147K (Glassdoor est.),3.6,"Citizens
3.6","Dublin, OH",10000+ Employees,1828,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion (USD)
Data Scientist II,-1,3.8,"Battelle
3.8","Columbus, OH",10000+ Employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD)
Data Scientist II,-1,3.8,"Battelle
3.8","Columbus, OH",-1,-1,-1,-1,-1,-1
Data Scientist,$61K - $116K (Glassdoor est.),3.7,"University Hospitals
3.7","Mayfield Heights, Cuyahoga, OH",-1,-1,-1,-1,-1,-1
Data Scientist,$70K - $110K (Glassdoor est.),4.4,"Trimble
4.4","Mayfield Heights, Cuyahoga, OH",201 to 500 Employees,1979,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$59K - $115K (Glassdoor est.),3.7,"The J. M. Smucker Company
3.7","Orrville, OH",5001 to 10000 Employees,1897,Company - Public,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD)
Data Engineer- Internal Integration,$50K - $101K (Glassdoor est.),3.7,"University Hospitals
3.7","Shaker Heights, Cuyahoga, OH",10000+ Employees,1863,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Data Scientist,$87K - $99K (Glassdoor est.),4.1,"Resolvit.com
4.1","Cincinnati, OH",201 to 500 Employees,2002,Company - Private,Consulting,Business Services,$25 to $50 million (USD)
Data Scientist,$67K - $100K (Glassdoor est.),-1,"Rainmaker Resources, LLC","Cincinnati, OH",-1,-1,-1,-1,-1,-1
Data Scientist,$98K - $158K (Glassdoor est.),3.4,"Quotient Technology Inc.
3.4","Cincinnati, OH",501 to 1000 Employees,1998,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD)
Data Scientist,$74K - $121K (Glassdoor est.),3.9,"Western & Southern Financial Group
3.9","Cincinnati, OH",1001 to 5000 Employees,1888,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
Data Scientist,$68K - $108K (Glassdoor est.),3.8,"Huntington Bank
3.8","Columbus, OH",10000+ Employees,1866,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Scientist,$111K - $121K (Glassdoor est.),4.3,"Upstart
4.3","Columbus, OH",501 to 1000 Employees,2012,Company - Public,Lending,Finance,Unknown / Non-Applicable
Data Scientist,$60K - $101K (Glassdoor est.),3.4,"Money Mart Financial Services
3.4","Columbus, OH",5001 to 10000 Employees,1982,Company - Private,Lending,Finance,$1 to $2 billion (USD)
Data Scientist,$64K - $110K (Glassdoor est.),5.0,"auticon
5.0","Columbus, OH",201 to 500 Employees,2011,Unknown,IT Services,Information Technology,Less than $1 million (USD)
Data Scientist,$73K - $112K (Glassdoor est.),4.2,"Root Insurance Company
4.2","Columbus, OH",501 to 1000 Employees,2015,Company - Public,Insurance Carriers,Insurance,$100 to $500 million (USD)
Data Scientist,-1,3.2,"CAS
3.2","Columbus, OH",1001 to 5000 Employees,1907,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Scientist,$60K - $104K (Glassdoor est.),3.9,"Olive
3.9","Columbus, OH",501 to 1000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Associate Scientist,$40K - $80K (Glassdoor est.),-1,Cleveland Diagnostics Inc,"Cleveland, OH",-1,-1,-1,-1,-1,-1
Data Scientist,$73K - $129K (Glassdoor est.),3.4,"Safelite Group
3.4","Columbus, OH",10000+ Employees,1947,Company - Private,Auto Repair & Maintenance,"Construction, Repair & Maintenance",$2 to $5 billion (USD)
Data Scientist,-1,3.7,"Vorys, Sater, Seymour and Pease LLP.
3.7","Cincinnati, OH",501 to 1000 Employees,1909,Company - Private,Legal,Accounting & Legal,Unknown / Non-Applicable
Data Scientist,$70K - $127K (Glassdoor est.),3.7,"Tyto Athene
3.7","Fairborn, OH",201 to 500 Employees,2018,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$59K - $105K (Glassdoor est.),4.1,"Ascendum
4.1","Cincinnati, OH",201 to 500 Employees,1985,Subsidiary or Business Segment,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Scientist,$72K - $113K (Glassdoor est.),3.6,"Anthem
3.6","Mason, OH",10000+ Employees,2004,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist,$64K - $120K (Glassdoor est.),4.3,"Kimball Midwest
4.3","Columbus, OH",1001 to 5000 Employees,1923,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable
Senior Data Scientist,-1,3.8,"Battelle
3.8","Columbus, OH",10000+ Employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD)
