Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Artificial Intelligence/Machine Learning Data Scientist,-1,3.8,"Mitre Corporation
3.8",United States,5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD)
Machine Learning Engineer (open to remote),Employer Provided Salary:$142K,3.6,"American Family Insurance
3.6","Madison, WI",5001 to 10000 Employees,1927,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD)
Data Scientist,-1,4.9,"Bluetree Network
4.9","Madison, WI",-1,-1,-1,-1,-1,-1
Supply Chain Consultant - Data Scientist,-1,4.0,"Kimberly-Clark Corporation, LLC
4.0","Neenah, WI",10000+ Employees,1872,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Data Science Engineer,-1,4.0,"AE Business Solutions
4.0","Madison, WI",51 to 200 Employees,1949,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Data Scientist,-1,3.5,"Clarios
3.5","Milwaukee, WI",10000+ Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist/ Full Stack Developer,Employer Provided Salary:$65 - $72 Per Hour,3.7,"Epitec
3.7",Wisconsin,1001 to 5000 Employees,1978,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data scientist,-1,3.3,"Genus PLC
3.3",United States,1001 to 5000 Employees,Company - Public,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),-1
Data Scientist - AI & ML (open to remote),Employer Provided Salary:$142K,3.6,"American Family Insurance
3.6","Madison, WI",5001 to 10000 Employees,1927,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD)
Data Scientist: Personal Auto Telematics (Remote),Employer Provided Salary:$163K,3.6,"American Family Insurance
3.6",Wisconsin,5001 to 10000 Employees,1927,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD)
Data Scientist I (Remote),-1,3.6,"KOHLS
3.6","Menomonee Falls, WI",10000+ Employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
