Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$100K - $160K (Glassdoor est.),4.7,"Johns Hopkins Applied Physics Laboratory (APL)
4.7","Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Data Scientist,$80K - $148K (Glassdoor est.),3.9,"Deloitte
3.9","Arlington, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,$68K - $141K (Glassdoor est.),2.6,"QinetiQ Inc.
2.6","Lorton, VA",501 to 1000 Employees,1956,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
Data Scientist,$79K - $148K (Glassdoor est.),3.9,"Deloitte
3.9","Washington, DC",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist with TS Clearance,$86K - $155K (Glassdoor est.),3.9,"Deloitte
3.9","Arlington, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist with Polygraph,$79K - $148K (Glassdoor est.),3.9,"Deloitte
3.9","Rosslyn, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,$79K - $131K (Glassdoor est.),3.6,"ATCS, P.L.C.
3.6","Herndon, VA",201 to 500 Employees,1994,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD)
Data Analyst & Processes,$39K - $78K (Glassdoor est.),4.2,"BSH Home Appliances Group
4.2","New Bern, NC",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,$67K - $113K (Glassdoor est.),2.8,"IFG Companies
2.8","Atlanta, GA",201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
Sr. Data Scientist,$83K - $138K (Glassdoor est.),3.7,"CNA Insurance
3.7","Chicago, IL",1001 to 5000 Employees,1897,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Research Data Scientist,$77K - $133K (Glassdoor est.),3.8,"Intelligent Automation
3.8","Rockville, MD",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD)
Staff Data Scientist,$72K - $137K (Glassdoor est.),4.3,"Blue Yonder
4.3","Dallas, TX",5001 to 10000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD)
Data Engineer,$60K - $114K (Glassdoor est.),-1,Sift Healthcare,"Milwaukee, WI",-1,-1,-1,-1,-1,-1
