Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Staff Data Scientist,$72K - $137K (Glassdoor est.),4.3,"Blue Yonder
4.3","Dallas, TX",5001 to 10000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD)
Data Scientist with Polygraph,$79K - $148K (Glassdoor est.),3.9,"Deloitte
3.9","Rosslyn, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
R&D Scientist,$39K - $84K (Glassdoor est.),3.5,"LGC Limited
3.5","Middleton, WI",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Scientist,$79K - $148K (Glassdoor est.),3.9,"Deloitte
3.9","Washington, DC",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,$68K - $141K (Glassdoor est.),2.6,"QinetiQ Inc.
2.6","Lorton, VA",501 to 1000 Employees,1956,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
"Scientist III, Quality Control",$66K - $128K (Glassdoor est.),3.6,"Amneal Pharmaceuticals
3.6","Brookhaven, NY",5001 to 10000 Employees,2002,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
Data Scientist with TS Clearance,$86K - $154K (Glassdoor est.),3.9,"Deloitte
3.9","Arlington, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Analyst,$44K - $79K (Glassdoor est.),4.1,"MMM Holdings
4.1","Orlando, FL",1001 to 5000 Employees,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
Data Scientist,$67K - $113K (Glassdoor est.),2.8,"IFG Companies
2.8","Atlanta, GA",201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
Staff Data Scientist,$96K - $170K (Glassdoor est.),3.5,"Alteryx, Inc.
3.5","Boston, MA",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Senior Scientist,$68K - $97K (Glassdoor est.),3.5,"LGC Limited
3.5","Alexandria, MN",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Scientist,$100K - $160K (Glassdoor est.),4.7,"Johns Hopkins Applied Physics Laboratory (APL)
4.7","Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Data Engineer,$54K - $106K (Glassdoor est.),3.5,"Nebraska Book Company
3.5","Lincoln, NE",201 to 500 Employees,1915,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
"Scientist I, Microbiology",$51K - $98K (Glassdoor est.),3.8,"Thermo Fisher - America
3.8","Carlsbad, CA",10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Scientist,$47K - $96K (Glassdoor est.),3.4,"Louisville Water Company
3.4","Louisville, KY",201 to 500 Employees,1860,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD)
Data Scientist,$75K - $125K (Glassdoor est.),3.5,"GEICO
3.5","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
Research Scientist I - Essentia,$50K - $113K (Glassdoor est.),2.8,"The Lauridsen Group
2.8","Ankeny, IA",501 to 1000 Employees,1969,Company - Public,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable
"Scientist III, Quality Control - 2nd Shift",$66K - $128K (Glassdoor est.),3.6,"Amneal Pharmaceuticals
3.6","Brookhaven, NY",5001 to 10000 Employees,2002,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
Lead / Senior Data Scientist,$73K - $142K (Glassdoor est.),3.7,"Dealerware
3.7","Austin, TX",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Data Scientist,-1,4.2,"Fidelity Investments
4.2","Boston, MA",10000+ Employees,1946,Company - Private,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Principal Scientist,$76K - $155K (Glassdoor est.),3.7,"IsoPlexis
3.7","Branford, CT",1 to 50 Employees,Company - Private,Less than $1 million (USD),-1,-1,-1
Data Engineer,$56K - $111K (Glassdoor est.),3.7,"America First Credit Union
3.7","Ogden, UT",1001 to 5000 Employees,1939,Nonprofit Organization,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
Data Scientist,$75K - $142K (Glassdoor est.),4.2,"Booz Allen Hamilton
4.2","Chantilly, VA",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD)
Research Data Scientist,$77K - $133K (Glassdoor est.),3.8,"Intelligent Automation
3.8","Rockville, MD",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD)
R&D Scientist,-1,-1,Metalor Technologies USA,"Attleboro, MA",-1,-1,-1,-1,-1,-1
Junior Data Engineer,$49K - $95K (Glassdoor est.),3.3,"NFI Industries
3.3","Chicago, IL",5001 to 10000 Employees,1932,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$1 to $2 billion (USD)
